"","empirical"
"1033","ENSG00000102858"
"1034","ENSG00000102882"
"1035","ENSG00000102886"
"1036","ENSG00000102890"
"1037","ENSG00000102910"
"1038","ENSG00000102921"
"1039","ENSG00000102924"
"1040","ENSG00000102935"
"1041","ENSG00000102967"
"1042","ENSG00000102978"
"1043","ENSG00000102984"
"1044","ENSG00000103005"
"1045","ENSG00000103024"
"1046","ENSG00000103034"
"1047","ENSG00000103037"
"1048","ENSG00000103051"
"1049","ENSG00000103056"
"1050","ENSG00000103089"
"1051","ENSG00000103152"
"1052","ENSG00000103154"
"1053","ENSG00000103174"
"1054","ENSG00000103175"
"1055","ENSG00000103199"
"1056","ENSG00000103226"
"1057","ENSG00000103227"
"1058","ENSG00000103241"
"1059","ENSG00000103245"
"1060","ENSG00000103248"
"1061","ENSG00000103249"
"1062","ENSG00000103253"
"1063","ENSG00000103254"
"1064","ENSG00000103269"
"1065","ENSG00000103313"
"1066","ENSG00000103319"
"1067","ENSG00000103326"
"1068","ENSG00000103335"
