"","TCGA-A2-A04P-01","TCGA-A2-A0CW-01","TCGA-A2-A0T5-01","TCGA-A7-A5ZW-01","TCGA-A8-A06T-01","TCGA-A8-A081-01","TCGA-A8-A08F-01","TCGA-AN-A046-01","TCGA-AN-A0AS-01","TCGA-AR-A1AM-01","TCGA-B6-A0IJ-01","TCGA-BH-A0HF-01","TCGA-C8-A12Q-01","TCGA-E2-A10C-01","TCGA-E2-A15P-01","TCGA-E2-A1LS-01","TCGA-E9-A249-01"
"GTEX-U3ZN-1926-SM-4DXSG",0.0736263736263736,0.149771062271062,0.181501831501831,0.390384615384615,0.245924908424908,0.258287545787546,0.0833791208791209,0.00622710622710623,0.0801282051282051,0.619826007326007,0.135210622710623,0.249267399267399,0.53209706959707,0.323397435897436,0.563232600732601,0.15,0.279395604395604
"GTEX-UJHI-1426-SM-3DB9C",0.0495421245421245,0.0873626373626374,0.194093406593407,0.394230769230769,0.162454212454212,0.250274725274725,0.0154761904761905,-0.0164835164835165,0.042032967032967,0.611630036630037,0.126465201465201,0.333653846153846,0.503754578754579,0.236401098901099,0.567994505494505,0.175274725274725,0.23452380952381
"GTEX-VJWN-0726-SM-3GIJ8",0.148489010989011,0.137087912087912,0.280723443223443,0.49739010989011,0.19532967032967,0.276648351648352,-0.00865384615384615,0.0798534798534798,0.115155677655678,0.482967032967033,0.0793498168498168,0.461034798534799,0.444368131868132,0.240384615384615,0.50540293040293,0.334249084249084,0.290659340659341
"GTEX-WI4N-1426-SM-3LK7H",0.103754578754579,-0.0242673992673993,0.157692307692308,0.337225274725275,0.00654761904761905,0.0070054945054945,-0.0147435897435897,0.0106684981684982,0.139148351648352,0.443543956043956,0.145009157509158,0.313095238095238,0.306318681318681,0.101648351648352,0.354990842490842,0.0847985347985348,0.0969322344322344
"GTEX-WRHU-0326-SM-3MJFY",0.0929945054945055,0.0728021978021978,0.16025641025641,0.406272893772894,0.151190476190476,0.21959706959707,-0.0392399267399267,0.039514652014652,0.031456043956044,0.549954212454212,0.00618131868131868,0.391941391941392,0.415201465201465,0.302747252747253,0.524862637362637,0.18282967032967,0.267582417582418
"GTEX-WXYG-2226-SM-4E3IM",0.0496336996336996,0.149358974358974,0.157783882783883,0.326968864468864,0.219413919413919,0.291117216117216,0.0144688644688645,-0.0536630036630037,0.0183150183150183,0.576190476190476,0.124038461538462,0.305173992673993,0.560119047619048,0.269047619047619,0.605173992673993,0.213141025641026,0.293864468864469
"GTEX-WYBS-0926-SM-3NM94",0.18209706959707,0.160347985347985,0.352747252747253,0.456318681318681,0.230586080586081,0.251282051282051,0.0788919413919414,0.0823717948717949,0.119230769230769,0.647802197802198,0.0907509157509157,0.35018315018315,0.437271062271062,0.317994505494505,0.539606227106227,0.230586080586081,0.333836996336996
"GTEX-WYVS-1726-SM-3NMAY",0.165338827838828,0.187820512820513,0.281639194139194,0.378159340659341,0.301098901098901,0.370375457875458,0.0663461538461538,0.0381410256410256,0.0043040293040293,0.641620879120879,0.207051282051282,0.27967032967033,0.511950549450549,0.340430402930403,0.594139194139194,0.244139194139194,0.349267399267399
"GTEX-X15G-1626-SM-3NMB3",0.183928571428571,0.119139194139194,0.23489010989011,0.432417582417582,0.229304029304029,0.221062271062271,0.0191849816849817,-0.031043956043956,0.0152930402930403,0.690934065934066,0.130723443223443,0.342445054945055,0.468543956043956,0.354029304029304,0.560393772893773,0.190338827838828,0.236355311355311
"GTEX-X4EP-2926-SM-3P5YQ",0.0956959706959707,0.00425824175824176,0.154212454212454,0.353525641025641,0.0467948717948718,0.0924908424908425,-0.0805860805860806,-0.0116300366300366,0.0591117216117216,0.482967032967033,0.178800366300366,0.238186813186813,0.293086080586081,0.179578754578755,0.393040293040293,0.0752289377289377,0.180998168498168
"GTEX-XMD2-0926-SM-4WWEF",0.226831501831502,-0.0211996336996337,0.19793956043956,0.385851648351648,0.0461538461538461,0.068040293040293,-0.120467032967033,0.0287545787545788,-0.00805860805860806,0.474221611721612,0.171336996336996,0.384340659340659,0.232921245421245,0.243772893772894,0.364835164835165,0.250732600732601,0.128891941391941
"GTEX-XUJ4-1926-SM-4BOOV",-0.0111721611721612,0.140979853479853,0.280173992673993,0.45764652014652,0.245512820512821,0.241987179487179,0.0788919413919414,0.0478937728937729,0.146794871794872,0.673031135531136,-0.0129578754578755,0.421062271062271,0.528388278388278,0.258287545787546,0.637820512820513,0.156730769230769,0.31474358974359
"GTEX-XUW1-2326-SM-4BOO5",0.0570970695970696,0.147344322344322,0.153617216117216,0.314056776556777,0.172344322344322,0.240567765567766,0.0627289377289377,-0.0081959706959707,0.0840659340659341,0.546108058608059,0.126419413919414,0.340018315018315,0.51474358974359,0.2746336996337,0.561080586080586,0.160897435897436,0.239010989010989
"GTEX-XUZC-1626-SM-4BRVP",0.307738095238095,0.295512820512821,0.231822344322344,0.188141025641026,0.361858974358974,0.388415750915751,0.124725274725275,0.0662545787545788,0.0152930402930403,0.573717948717949,0.305265567765568,0.139514652014652,0.544093406593407,0.449542124542125,0.593864468864469,0.313598901098901,0.377930402930403
"GTEX-XV7Q-2326-SM-4BRVZ",-0.124175824175824,0.172664835164835,-0.0750457875457875,0.108516483516484,0.15485347985348,0.137408424908425,0.173122710622711,-0.00297619047619048,0.0956043956043956,0.1746336996337,0.0176739926739927,0.15782967032967,0.286217948717949,0.0455586080586081,0.261630036630037,-0.0597069597069597,0.0764652014652015
